timestamp,engine_id,flight_phase,temperature_c,pressure_psi,rpm,vibration_mms
1773055000,GTRE_GT_01,GROUND_IDLE,620.5,14.7,6500,0.008
1773055001,GTRE_GT_01,GROUND_IDLE,622.1,14.8,6520,0.009
1773055002,GTRE_GT_01,GROUND_IDLE,621.8,14.7,6510,0.008
1773055003,GTRE_GT_01,GROUND_IDLE,623.4,14.9,6535,0.009
1773055004,GTRE_GT_01,GROUND_IDLE,625,15,6550,0.01
1773055005,GTRE_GT_01,TAXI,680.2,22.4,8200,0.012
1773055006,GTRE_GT_01,TAXI,685.6,23.1,8350,0.014
1773055007,GTRE_GT_01,TAXI,689,23.8,8420,0.013
1773055008,GTRE_GT_01,TAXI,692.4,24.2,8500,0.015
1773055009,GTRE_GT_01,TAKEOFF,780.1,38.5,11800,0.022
1773055010,GTRE_GT_01,TAKEOFF,815.4,42.1,12400,0.028
1773055011,GTRE_GT_01,TAKEOFF,842,44.8,12850,0.033
1773055012,GTRE_GT_01,TAKEOFF,855.2,45.9,13100,0.038
1773055013,GTRE_GT_01,CLIMB,848.9,44.2,12900,0.035
1773055014,GTRE_GT_01,CLIMB,845.1,43.5,12800,0.033
1773055015,GTRE_GT_01,CLIMB,842.7,42.9,12750,0.031
1773055016,GTRE_GT_01,CLIMB,840,42.1,12700,0.03
1773055017,GTRE_GT_01,CRUISE,815.3,39.4,12200,0.024
1773055018,GTRE_GT_01,CRUISE,816,39.5,12210,0.023
1773055019,GTRE_GT_01,CRUISE,814.8,39.3,12190,0.025
1773055020,GTRE_GT_01,CRUISE,817.2,39.6,12230,0.024
1773055021,GTRE_GT_01,CRUISE,815.9,39.4,12205,0.023
1773055022,GTRE_GT_01,CRUISE,816.5,39.5,12215,0.024
1773055023,GTRE_GT_01,CRUISE,814.2,39.2,12180,0.022
1773055024,GTRE_GT_01,CRUISE,815,39.4,12200,0.023
1773055025,GTRE_GT_01,ANOMALY_TEST,892.4,40.1,12210,0.025
1773055026,GTRE_GT_01,CRUISE,818.1,39.6,12220,0.024
1773055027,GTRE_GT_01,CRUISE,816.3,39.4,12200,0.023
1773055028,GTRE_GT_01,CRUISE,815.7,39.3,12195,0.024
1773055029,GTRE_GT_01,ANOMALY_TEST,816,39.5,12200,0.078
1773055030,GTRE_GT_01,CRUISE,814.9,39.2,12185,0.023
1773055031,GTRE_GT_01,CRUISE,815.2,39.3,12190,0.022
1773055032,GTRE_GT_01,DESCENT,740.5,31.2,10500,0.018
1773055033,GTRE_GT_01,DESCENT,725,28.9,9800,0.016
1773055034,GTRE_GT_01,DESCENT,710.2,26.4,9200,0.015
1773055035,GTRE_GT_01,GROUND_IDLE,620,14.7,6500,0.008
